,Unnamed: 0,picker_host,wms_sku_id,sku_name,sku_weight_g,sku_dimensions_mm,task_success,pick_success,place_success,task_total,pick_total,place_total,p
3258,3258,ropi03,963822,Adveni Ovesná mouka bez lepku,257.0,"[200, 160, 30]",1,1.0,1.0,1,1,1,1.0
3266,3266,ropi03,965934,Flipz Preclíky se slaným karamelem,94.0,"[180, 120, 47]",1,1.0,1.0,1,1,1,1.0
3269,3269,ropi03,967119,Kotányi Salát francouzský,20.0,"[135, 90, 5]",2,2.0,2.0,2,2,2,1.0
3279,3279,ropi03,973158,Nutrilon Pronutra Vícezrnná kaše s ovocem,267.0,"[200, 130, 45]",1,1.0,1.0,1,1,1,1.0
3280,3280,ropi03,973200,Nutrilon Pronutra Piškotová kaše se 7 druhy obilovin,267.0,"[200, 130, 45]",1,1.0,1.0,1,1,1,1.0
3288,3288,ropi04,1073847,Sunar Piškotová kaše mléčná,288.0,"[200, 130, 60]",5,5.0,5.0,5,5,5,1.0
3317,3317,ropi04,1346081,Vitana Bez lepku Hovězí bujón,70.0,"[27, 115, 57]",11,11.0,11.0,11,11,11,1.0
3318,3318,ropi04,1346111,Vitana Bez lepku Zeleninový bujón,66.0,"[27, 115, 57]",5,5.0,5.0,5,5,5,1.0
3321,3321,ropi04,1373995,Alnatura BIO Zeleninové tortellini,262.0,"[220, 147, 20]",2,2.0,2.0,2,2,2,1.0
3322,3322,ropi04,1374010,Alnatura BIO Sýrové tortellini,262.0,"[220, 147, 20]",3,3.0,3.0,3,3,3,1.0
3324,3324,ropi04,1374940,Alnatura BIO Gumoví medvídci mix,104.0,"[170, 120, 20]",6,6.0,6.0,7,6,6,1.0
3325,3325,ropi04,1375510,Alnatura BIO Směs semínek do salátu,110.0,"[180, 110, 40]",4,4.0,4.0,4,4,4,1.0
3326,3326,ropi04,1376155,Alnatura BIO Dětská kaše ovesno-banánová,286.0,"[170, 125, 45]",5,5.0,5.0,5,5,5,1.0
3342,3342,ropi04,1396393,Hami Mléčná kaše rýžová straciatella,267.0,"[200, 130, 46]",9,9.0,9.0,9,9,9,1.0
3343,3343,ropi04,1396408,Hami Mléčná kaše krupicová medová,267.0,"[200, 130, 46]",4,4.0,4.0,4,4,4,1.0
3345,3345,ropi04,1396573,Hami Mléčná kaše rýžová s vanilkovou příchutí,268.0,"[200, 130, 46]",8,8.0,8.0,8,8,8,1.0
3352,3352,ropi04,1403698,Křehké tyčinky kukuřičné bez lepku,90.0,"[190, 140, 55]",3,3.0,3.0,3,3,3,1.0
3378,3378,ropi04,1422218,REJ Rejfínci kukuřičný snack bez soli,22.0,"[200, 130, 45]",4,4.0,4.0,4,4,4,1.0
